 Процессов  | Интервалов |  Интеграл  | Погрешность |   Время    
     1      |     10     |0.3153737757|-0.0026240334|0.0000859387
     2      |     10     |0.3153737757|-0.0026240334|0.0003257431
     3      |     10     |0.3153737757|-0.0026240334|0.0004397519
     4      |     10     |0.3153737757|-0.0026240334|0.0004505310
     5      |     10     |0.3153737757|-0.0026240334|0.0003590342
     6      |     10     |0.3153737757|-0.0026240334|0.0004013032
     7      |     10     |0.3153737757|-0.0026240334|0.0005542021
     8      |     10     |0.3153737757|-0.0026240334|0.0006856546
     1      |     100    |0.3179715477|-0.0000262614|0.0001404155
     8      |     100    |0.3179715477|-0.0000262614|0.0005951412
     1      |     1000   |0.3179975464|-0.0000002626|0.0001755692
     8      |     1000   |0.3179975464|-0.0000002626|0.0006274264
     1      |     10000  |0.3179978064|-0.0000000026|0.0009913482
     8      |     10000  |0.3179978064|-0.0000000026|0.0005734358
     1      |     100000 |0.3179978090|-0.0000000000|0.0090406928
     8      |     100000 |0.3179978090|-0.0000000000|0.0016162340  
     5      |     10     |0.3153737757|-0.0026240334|0.0006280914
     5      |     10     |0.3153737757|-0.0026240334|0.0113508124
     5      |     10     |0.3153737757|-0.0026240334|0.0004351754
     5      |     10     |0.3153737757|-0.0026240334|0.0000952706
     5      |     10     |0.3153737757|-0.0026240334|0.0003508255
     5      |     10     |0.3153737757|-0.0026240334|0.0005313493
     5      |     10     |0.3153737757|-0.0026240334|0.0005296115
